Name,C,N,P,I,Cheated?,Records (N),Categories (N),Records (P),Categories (P),prodN,prodP
anningmay,673,6,6,32,Yes,,,,,,
anningmay,572,7,7,38,,,,,,,
anningmay,739,7,4,29,,,,,,,
anningmay,739,5,5,32,,,N,,,,
anningmay,710,6,6,35,,,,,,,
anningmay,591,6,6,41,,,,,,,
anotak,525,6,3,28,Yes,,,,,,
anotak,408,6,4,51,Yes,,,,,,
anotak,424,6,4,53,,,,,,,
david_0so,553,6,3,30,,,,,,,
easone,130,7,7,70,Yes,cC,,cC,,,
easone,179,5,4,35,Yes,,"c(CI),cN(CI)*",,c(CI)*,cNX,
easone,184,7,7,91,,C,,C,,,
easone,204,7,7,77,,,(CI)*,,(CI)*,,
easone,364,6,2,29,Yes,,,,cP,,
easone,365,5,4,37,,,"(CI),N(CI)*",,(CI)*,,
easone,135,7,7,55,Yes,,c(CI)*,,c(CI)*,,
easone,369,6,2,23,Yes,,c(CI)*,,"c(CI),cP(CI)*",,
easone,373,5,4,27,,,"(CI),N(CI)*",,(CI)*,,
easone,387,6,2,25,,,(CI)*,PC,(CI)*,,
easone,418,6,2,19,Yes,,c(CI)*,,"c(CI),cP(CI)*",,
easone,419,5,3,22,Yes,,cN(CI)*,,,,
easone,422,5,4,23,,,"(CI),N(CI)*",,(CI)*,,
easone,441,6,2,18,Yes,cI,,"cI,cPI",,,cPX
easone,442,6,2,21,,,(CI)*,,"(CI),P(CI)*",,PX
easone,444,5,4,22,,,N,,,,
easone,445,5,3,19,Yes,cNI,,,,,
easone,162,5,5,52,Yes,cNC,c(CI)*,,"c(CI),c(CP)*",,
easone,617,5,2,21,,,N,,P,,
easone,163,5,5,45,Yes,,"c(CI),cN(CI)*",,c(CI)*,,
easone,178,5,4,39,Yes,,"c(CI),cN(CI)*",,"c(CI),c(CP)*",,
LongingForRest,320,5,4,43,Yes,,cN,,,,
LongingForRest,441,6,2,18,Yes,cI,,"cI,cPI",,,cPX
LongingForRest,547,5,2,24,,,N,,P,,
LongingForRest,322,5,4,46,,,"(CI),N(CI)*",,"(CI),(CP)*",,
LongingForRest,374,6,2,22,Yes,,c(CI)*,,"c(CI),cP(CI)*",,
LongingForRest,329,5,4,36,Yes,,cN,,,,
LongingForRest,289,5,4,51,Yes,,cN,,,,
LongingForRest,220,8,8,85,Yes,,,,,,
LongingForRest,374,5,3,24,Yes,,cN(CI)*,,,,
LongingForRest,261,6,5,57,Yes,,,,,,
LongingForRest,277,7,6,70,,,,,(CP)*,,
LongingForRest,242,7,7,71,Yes,,,,,,
LongingForRest,242,8,8,78,,,,,,,
LongingForRest,321,5,5,47,,,"(CI),N(CI)*",,(CI)*,,
LongingForRest,267,6,5,54,Yes,,,,,,
LongingForRest,264,7,7,61,,,(CI)*,,(CI)*,,
LongingForRest,411,5,3,24,,,"(CI),N(CI)*",,(CI)*,,
LongingForRest,295,5,5,52,,NC,(CI)*,,"(CI),(CP)*",,
LongingForRest,235,7,7,73,Yes,,,,,,
LongingForRest,418,6,2,19,Yes,,c(CI)*,,"c(CI),cP(CI)*",,
LongingForRest,265,7,7,60,,,(CI)*,,(CI)*,,
LongingForRest,328,5,4,37,Yes,,cN,,,,
LongingForRest,324,5,4,39,Yes,,cN,,,,
LongingForRest,266,6,5,55,Yes,,,,,,
LongingForRest,243,8,8,77,,,,,,,
LongingForRest,294,5,4,46,Yes,,cN,,,,
LongingForRest,226,8,7,94,,,,,,,
LongingForRest,217,8,8,87,Yes,,,,,,
LongingForRest,539,5,2,25,,,N,,P,,
LongingForRest,445,5,3,19,Yes,cNI,,,,,
LongingForRest,466,5,3,20,,NI,(CI)*,,(CI)*,NX,
LongingForRest,423,5,3,20,Yes,,cN(CI)*,,,,
LongingForRest,444,5,3,21,,,N(CI)*,,,,
LongingForRest,293,5,4,47,Yes,,cN,,,,
LongingForRest,492,5,2,27,,,N,,P,,
LongingForRest,496,5,2,26,,,N,,P,,
LongingForRest,579,5,2,22,,,N,,P,,
LongingForRest,558,5,2,23,,,N,,P,,
LongingForRest,371,6,2,23,Yes,,,,cP,,
LongingForRest,727,6,2,19,,I,,"I,PI",,,
LongingForRest,370,6,2,24,Yes,,,,cP,,
LongingForRest,367,5,3,26,Yes,,cN(CI)*,,,,
LongingForRest,362,6,2,25,Yes,,c(CI)*,cPC,c(CI)*,,
LongingForRest,379,5,3,23,Yes,,cN(CI)*,,,,
LongingForRest,349,5,4,33,Yes,,"c(CI),cN(CI)*",,c(CI)*,,
LongingForRest,355,5,4,28,Yes,,"c(CI),cN(CI)*",,c(CI)*,,
LongingForRest,345,5,4,35,Yes,,cN,,,,
LongingForRest,221,8,7,80,Yes,,,,,,
LongingForRest,290,5,4,50,Yes,,cN,,,,
mr_puzzel,499,6,4,33,,,,,,,
