Name,C,N,P,I,Cheated?,Records (N),Categories (N),Records (P),Categories (P),prodN,prodP
anotak,4084,9,8,101,,,,,,,
anotak,97,10,9,97,,,,,,,
easone,10,5,2,12,Hard,"hIC,hIN,hNC,hNIC",,hI,h(CP)*,hNX,
easone,100,5,5,63,,,N,,,,
easone,106,5,5,59,,,N,,,,
easone,110,5,5,58,,,N,,,,
easone,297,5,5,41,,,N,,,,
easone,315,5,5,36,,,N(CI)*,,,,
easone,653,5,5,32,,,"(CI),N(CI)*",,(CI)*,,
easone,724,6,3,40,,,,P,,,
easone,11,5,1,14,Hard,,hN,hPC,,,
easone,726,6,3,39,,,,P,,,
easone,1109,6,3,35,,,,PI,,,
easone,1148,5,5,31,Yes,,cN,,,,
easone,1379,5,5,31,,"I,NI",,I,,,
easone,12,5,1,13,Hard,,hN,,hP,,
easone,37,7,6,82,Yes,,c(CN)*,,c(CP)*,,
easone,92,6,6,66,,,,,,,
eidyia,61,9,9,92,,,,,,,
eidyia,93,10,8,91,,,,,,,
eidyia,69,9,8,86,Yes,,,,,,
Hersmunch,9,6,5,18,Hard,hC,,hC,,,
Hersmunch,11,5,2,13,Hard,,hN,,,,
Hersmunch,25,9,8,63,Yes,cC,,cC,,,
Hersmunch,35,9,8,107,,C,,C,,,
Hersmunch,36,9,8,105,,,(CI)*,,(CI)*,,
Hersmunch,72,7,6,46,,,(CI)*,,(CI)*,,
Hersmunch,72,6,6,47,,,,,,,
Hersmunch,76,7,6,40,,,(CI)*,,(CI)*,,
Hersmunch,74,6,6,46,,,(CIN)*,,,,
Hersmunch,131,5,4,38,,,N(CI)*,,,,
Hersmunch,163,5,4,37,,,N(CI)*,,,,
Hersmunch,110,6,4,34,,,(CI)*,,"(CI),(IP)*",,
Hersmunch,109,6,4,35,,,(CI)*,,(CI)*,,
Hersmunch,108,6,4,36,,,(CI)*,,"(CI),(CP)*",,
Hersmunch,108,6,4,34,Yes,,,,c(CP)*,,
Hersmunch,88,5,5,43,,,N,,,,
Hersmunch,78,6,6,41,,,(CIN)*,,,,
Kert,1226,9,9,72,Yes,,,,,,
mr_puzzel,109,6,5,54,Yes,,,,,,
mr_puzzel,63,6,5,62,,,,,,,
mr_puzzel,61,7,5,63,,,,,,,
mr_puzzel,12,5,2,14,Hard,,hN,,,,
Untellect,109,5,3,47,,,N,PC,c(CP)*,,PX
Untellect,11,5,1,14,Hard,,hN,hPC,,,
Untellect,12,5,1,12,Hard,,"hI,hNI","hI,hPI",,,hPX
Untellect,121,5,3,45,,,N,P,,,
Untellect,54,5,5,48,,NC,(CI)*,,"(CI),(CP)*",NX,
Untellect,57,5,5,47,,,"(CI),N(CI)*",,(CI)*,,
Untellect,82,5,5,42,,,N(CI)*,,(CIP)*,,
Untellect,98,5,5,30,Yes,"cI,cNI",,cI,,,
Untellect,182,5,2,33,Yes,,cN,cP,,,cPX
