Name,C,N,P,I,Cheated?,Pareto? (N),Categories Won (N),Pareto? (P),Categories Won (P)
anningmay,3484,7,7,65,,,,,
anningmay,3486,7,7,66,,,,,
david0so,3475,8,8,73,,,,,
easone,1691,9,5,61,,,,Yes,(CP)
easone,1694,9,5,57,,Yes,(CI),Yes,(CI)
easone,2351,9,3,45,Yes,,,Yes,cP(CI)
easone,2415,9,3,46,,,,Yes,P(CI)
easone,2427,9,3,44,,,,Yes,P(CI)
easone,2503,7,3,44,,,,,P
easone,2594,7,3,42,Yes,,,Yes,cP(CI)
easone,2625,7,3,42,,,,Yes,P(CI)
easone,2692,5,3,42,,,,,P
easone,2811,5,3,40,Yes,,,Yes,cP(CI)
easone,2834,5,3,40,,,,Yes,P(CI)
easone,2843,3,3,42,,Yes,NC,,P
easone,1745,9,5,55,,Yes,(CI),Yes,(CI)
easone,2880,3,3,41,,Yes,N(CI),,P
easone,2959,3,3,40,,Yes,N(CI),,P
easone,2977,3,3,39,Yes,Yes,cN(CI),Yes,cP(CI)
easone,3034,3,3,39,,Yes,N(CI),Yes,P(CI)
easone,3099,3,3,38,Yes,Yes,"cI,cNI",Yes,"cI,cPI"
easone,3120,3,3,38,,Yes,"I,NI",Yes,"I,PI"
easone,1772,7,5,59,,,,,
easone,1818,7,5,53,,,,,
easone,1838,9,4,46,,,,Yes,(CP)
easone,1859,9,4,45,,,,Yes,(CIP)
easone,1907,7,4,43,,,,Yes,(CIP)
easone,1969,5,4,41,,Yes,(CI),Yes,(CI)
easone,2272,9,3,48,,,,,P
Hersmunch,1460,9,8,86,Yes,,,,
Hersmunch,2888,3,3,42,,,N,,P
Hersmunch,2334,9,3,47,,,,,P
Hersmunch,1443,9,8,94,,,,,
Hersmunch,1443,9,8,93,Yes,,,,
Hersmunch,2259,9,3,48,,,,Yes,PC
Hersmunch,1460,9,8,87,,,,,
Hersmunch,2305,9,3,47,,,,Yes,P(CI)
Hersmunch,2929,3,3,41,,,N,,P
Hersmunch,2464,9,3,44,,,,,P
Hersmunch,3120,3,3,38,,Yes,"I,NI",Yes,"I,PI"
Hersmunch,1490,9,7,81,Yes,,,,
Hersmunch,1490,9,7,82,,,,,
Hersmunch,2965,3,3,41,,,N,,P
killerbee13,3195,7,6,70,,,,,
killerbee13,2917,7,5,63,,,,,
killerbee13,3704,7,6,71,,,,,
killerbee13,3066,5,5,60,,,,,
LongingForRest,1841,5,5,45,,Yes,(CN),,
LongingForRest,1504,7,7,58,,Yes,(CI),Yes,(CI)
LongingForRest,2578,5,5,40,Yes,,,,
LongingForRest,2650,4,4,39,,Yes,(CI),Yes,(CI)
LongingForRest,1989,5,5,43,Yes,,,,
LongingForRest,1394,8,8,67,,Yes,(CIN),,
LongingForRest,1394,9,8,66,,Yes,(CI),Yes,(CI)
LongingForRest,1486,7,7,64,,Yes,(CIN),Yes,(CIP)
LongingForRest,1378,9,9,95,,Yes,C,Yes,C
LongingForRest,1482,7,7,66,,Yes,(CN),Yes,(CP)
LongingForRest,1780,7,6,45,,,,,
LongingForRest,1379,9,9,86,,Yes,(CI),Yes,(CI)
LongingForRest,1485,7,7,65,,Yes,(CIN),Yes,(CIP)
LongingForRest,1381,9,9,82,,Yes,(CI),Yes,(CI)
LongingForRest,1380,9,9,83,,Yes,(CI),Yes,(CI)
LongingForRest,1387,8,8,69,,Yes,(CN),,
LongingForRest,1389,8,8,68,,Yes,(CIN),,
LongingForRest,1387,9,8,68,,Yes,(CI),Yes,(CI)
LongingForRest,1487,7,7,63,,Yes,(CIN),Yes,(CIP)
LongingForRest,1488,7,7,62,,Yes,(CIN),Yes,(CIP)
LongingForRest,1504,7,7,57,Yes,Yes,c(CI),Yes,c(CI)
LongingForRest,1451,8,8,59,Yes,Yes,c(CIN),,
LongingForRest,1710,6,5,46,Yes,Yes,"c(CI),c(CN)",Yes,c(CI)
LongingForRest,1451,8,8,60,,Yes,(CIN),,
LongingForRest,1415,9,8,59,Yes,Yes,c(CI),Yes,c(CI)
LongingForRest,1451,9,8,58,Yes,Yes,c(CI),Yes,c(CI)
LongingForRest,2192,4,4,45,,Yes,(CIN),,
LongingForRest,2433,4,4,40,,Yes,(CI),Yes,(CI)
LongingForRest,2217,4,4,44,,Yes,(CIN),,
LongingForRest,2236,4,4,43,,Yes,(CIN),,
LongingForRest,2337,4,4,42,,Yes,(CIN),,
LongingForRest,2355,4,4,41,,Yes,(CIN),,
LongingForRest,2152,4,4,47,,Yes,(CN),,
