Name,C,N,P,I,Cheated?,Pareto? (N),Categories Won (N),Pareto? (P),Categories Won (P)
LongingForRest,1750,6,5,45,,Yes,"(CI),(CN)",Yes,(CI)
LongingForRest,1451,9,8,59,,Yes,(CI),Yes,(CI)
LongingForRest,2172,4,4,46,,Yes,(CIN),,
LongingForRest,1397,8,8,66,,Yes,(CIN),,
LongingForRest,1398,8,8,65,,Yes,(CIN),,
LongingForRest,1389,9,8,67,,Yes,(CI),Yes,(CI)
LongingForRest,1397,9,8,65,,Yes,(CI),Yes,(CI)
LongingForRest,1398,9,8,64,,Yes,(CI),Yes,(CI)
LongingForRest,3131,9,3,47,,,,,P
LongingForRest,3691,3,3,41,,,N,,P
LongingForRest,3013,9,3,51,,,,,P
LongingForRest,3027,9,3,50,Yes,,,,cP
LongingForRest,1415,9,8,60,,Yes,(CI),Yes,(CI)
LongingForRest,3432,3,3,44,Yes,,cN,,cP
LongingForRest,3433,3,3,45,,,N,,P
LongingForRest,3599,3,3,42,,,N,,P
LongingForRest,3460,3,3,43,,,N,,P
LongingForRest,3749,3,3,43,,,N,,P
LongingForRest,1383,9,8,73,,Yes,(CI),Yes,(CI)
LongingForRest,1382,9,8,74,,Yes,(CI),Yes,"(CI),(CP)"
LongingForRest,1903,5,5,44,,Yes,(CIN),,
LongingForRest,1848,5,5,46,,,,,
LongingForRest,1753,6,5,44,,Yes,(CI),Yes,(CI)
LongingForRest,1415,8,8,61,,Yes,(CIN),,
LongingForRest,1881,6,5,42,Yes,Yes,c(CI),Yes,c(CI)
LongingForRest,1791,6,5,43,,Yes,(CI),Yes,(CI)
LongingForRest,2313,5,5,41,Yes,,,,
LongingForRest,2228,5,5,42,,,,,
LongingForRest,2681,6,5,43,Yes,,,,
LongingForRest,1415,8,8,60,Yes,Yes,c(CIN),,
LongingForRest,1870,7,6,44,Yes,,,,
LongingForRest,2544,5,5,41,,,,,
mr_puzzel,1979,6,6,67,,,,,
