Name,C,N,P,I,Cheated?,Records (N),Categories (N),Records (P),Categories (P),prodN,prodP
anningmay,3525,5,4,39,,,,,,,
anningmay,3495,5,4,38,,,,,,,
biggiemac42,7903,4,4,43,Yes,,cN,,,,
biggiemac42,8557,4,4,40,,,N,,,,
easone,3657,4,4,46,,,N(CI)*,,,NX,
easone,3158,6,4,49,,,,,,,
easone,3637,4,4,55,,NC,,,,,
easone,3161,5,3,39,,,,P,,,PX
easone,3982,4,4,42,Yes,,cN(CI)*,,,,
easone,4011,4,4,44,Yes,,cN,,,,
easone,4018,4,4,41,Yes,,cN,,,,
easone,3657,4,4,46,,,N(CI)*,,,NX,
easone,3637,4,4,55,,NC,,,,,
easone,3475,5,4,33,Yes,,,,,,
easone,3160,5,3,40,,,,P,,,
easone,3159,6,4,48,,,,,,,
easone,4003,4,4,34,Yes,,cN(CI)*,,,cNX,
Hersmunch,3365,5,4,32,,,,,,,
Hersmunch,3518,5,4,24,Yes,,,,c(IP)*,,
Hersmunch,5012,4,4,32,Yes,,cN,,,,
Hersmunch,2370,9,9,71,,C,,C,,,
Hersmunch,3518,5,4,24,Yes,,,,c(IP)*,,
Hersmunch,5041,4,4,31,Yes,,cNI,,,,
jazck,6129,5,5,45,Yes,,,,,,
jazck,6121,6,5,43,Yes,,,,,,
LongingForRest,5973,6,4,29,,,,,,,
LongingForRest,3415,5,5,21,Yes,cI,,cI,,,
LongingForRest,6558,7,7,48,,,,,,,
LongingForRest,6558,8,8,46,,,,,,,
LongingForRest,2428,7,6,63,,,(CI)*,,(CI)*,,
LongingForRest,2463,7,6,62,,,(CI)*,,(CI)*,,
LongingForRest,2426,7,6,64,,,"(CI),(CN)*",,"(CI),(CP)*",,
LongingForRest,2575,7,5,49,,,(CI)*,,"(CI),(CP)*",,
LongingForRest,3731,6,4,31,Yes,,,,,,
LongingForRest,4620,4,4,31,Yes,cNIC,,,,,
LongingForRest,4305,4,4,32,Yes,,cN(CI)*,,,,
LongingForRest,7374,4,4,33,,NI,,,,,
LongingForRest,3170,5,4,26,Yes,,c(CI)*,,c(CI)*,,
LongingForRest,2830,7,7,39,Yes,,c(CI)*,,c(CI)*,,
LongingForRest,3136,5,4,28,,I,,I,(CP)*,,
LongingForRest,3125,5,5,30,,,"(CI),(CN)*",,(CI)*,,
mr_puzzel,4668,7,6,48,,,,,,,
negative_seven,8832,4,4,55,,,N,,,,
negative_seven,6590,4,4,52,Yes,,cN,,,,
negative_seven,9716,4,4,45,,,N,,,,
