Name,C,N,P,I,Cheated?,Records (N),Categories (N),Records (P),Categories (P),prodN,prodP
anningmay,187,7,4,54,,,,,,,
anotak,261,10,4,42,,,,,,,
david0so,364,9,6,67,,,,,,,
easone,121,10,10,61,,,(CI)*,,(CI)*,,
easone,123,10,10,55,,,(CI)*,,(CI)*,,
easone,130,10,10,53,,,(CI)*,,(CI)*,,
easone,142,9,7,55,,,,,,,
easone,159,6,3,35,,,N,,,,
easone,163,6,3,34,,,N,,(CIP)*,,
easone,168,6,3,33,,,N,,,,
easone,209,6,3,27,,"I,NI",,I,,,
Hersmunch,153,6,4,33,,,"(CI),N(CI)*",,(CI)*,,
Hersmunch,158,6,4,31,,,"(CI),N(CI)*",,(CI)*,,
Hersmunch,169,7,2,34,,,,P,,,PX
Hersmunch,115,9,7,68,,C,,C,,,
Hersmunch,116,9,7,67,,,(CI)*,,(CI)*,,
Hersmunch,162,6,4,29,,,"(CI),N(CI)*",,(CI)*,,
Hersmunch,142,6,4,45,,NC,(CI)*,,"(CI),(CP)*",,
Hersmunch,146,6,4,41,,,"(CI),N(CI)*",,(CI)*,,
Hersmunch,149,6,3,37,,,"(CI),N(CI)*",,"(CI),(CP)*",,
Hersmunch,152,6,3,35,,,"(CI),N(CI)*",,(CI)*,,
Hersmunch,166,6,3,28,,,"(CI),N(CI)*",,(CI)*,NX,
killerbee13,279,9,7,73,,,,,,,
kozz84,208,7,5,61,,,,,,,
LongingForRest,172,6,5,30,,,N,,,,
LongingForRest,159,6,3,35,,,N,,,,
LongingForRest,159,6,4,33,,,N,,,,
mr_puzzel,271,6,3,32,,,N,,,,
Raniem,184,9,4,53,,,,,,,
Raniem,234,10,5,51,,,,,,,
