Name,C,N,P,I,Cheated?,Records (N),Categories (N),Records (P),Categories (P),prodN,prodP
david_0so,198265,3,3,41,,,N,,,,
easone,51117,4,4,46,,C,,C,,,
easone,66790,4,4,44,,,(CI)*,,(CI)*,,
easone,163681,3,3,33,,,N,,,,
easone,163760,3,3,29,,,N,,,,
easone,180581,3,3,26,,,N,,,,
easone,180620,3,3,25,,,N,,,,
easone,181010,3,3,24,,,N,,,,
easone,209403,3,2,25,,,N,PC,,,
easone,209946,3,2,24,,,N,P,,,
easone,68567,4,4,42,,,(CI)*,,(CI)*,,
easone,214977,4,4,22,,,,,,,
easone,294190,4,3,23,,,,,,,
easone,68568,4,4,41,,,(CI)*,,(CI)*,,
easone,163642,3,3,32,Yes,,cN,,,,
easone,163643,3,3,31,Yes,,cN,,,,
eidyia,238028,3,3,26,,,N,,,,
eidyia,182360,3,3,35,,,N,,,,
Hersmunch,220372,3,3,21,,,N,,,,
Hersmunch,202324,3,3,22,,,N,,,,
Hersmunch,220680,3,2,22,,,N,PI,,,PX
Hersmunch,96036,3,3,41,,NC,,,(CP)*,,
Hersmunch,96210,3,3,32,,,"(CI),N(CI)*",,(CI)*,,
Hersmunch,98729,3,3,31,,,"(CI),N(CI)*",,(CI)*,,
Hersmunch,98766,3,3,30,,,"(CI),N(CI)*",,(CI)*,NX,
Hersmunch,109929,3,3,27,,,"(CI),N(CI)*",,(CI)*,,
Hersmunch,132199,3,3,26,,,"(CI),N(CI)*",,(CI)*,,
LongingForRest,209554,3,3,19,,"I,NI",,I,,,
LongingForRest,113839,3,3,30,,,N,,,,
LongingForRest,220332,3,2,23,,,N,P,,,
LongingForRest,181078,3,3,21,,,"(CI),N(CI)*",,(CI)*,,
LongingForRest,146431,3,3,24,,,"(CI),N(CI)*",,(CI)*,,
LongingForRest,184326,3,3,20,,,"(CI),N(CI)*",,(CI)*,,
LongingForRest,157373,3,3,23,,,"(CI),N(CI)*",,(CI)*,,
LongingForRest,127178,3,3,29,,,N,,,,
mr_puzzel,225626,3,3,30,,,N,,,,
