Name,C,N,P,I,Cheated?,Records (N),Categories (N),Records (P),Categories (P),prodN,prodP
easone,689,9,9,91,,C,,C,,,
easone,756,8,8,75,,,(CI)*,,(CI)*,,
easone,764,8,8,70,,,(CI)*,,(CI)*,,
easone,768,8,8,67,,,(CI)*,,(CI)*,,
easone,828,7,6,69,,,(CIN)*,,(CP)*,,
easone,839,7,6,61,,,(CI)*,,(CI)*,,
easone,865,7,6,59,,,(CI)*,,(CI)*,,
easone,953,7,6,58,,,(CI)*,,(CI)*,,
easone,690,9,9,86,,,(CI)*,,(CI)*,,
easone,1057,5,5,63,,NC,,PC,,,
easone,1082,5,5,54,,N,(CI)*,P,(CI)*,,
easone,1086,5,5,53,,N,(CI)*,P,(CI)*,,
easone,1092,5,5,52,,"I,NI",,"I,PI",,NX,PX
easone,691,9,9,84,Yes,,c(CI)*,,c(CI)*,,
easone,695,9,9,81,,,(CI)*,,(CI)*,,
easone,740,8,8,79,,,"(CI),(CN)*",,"(CI),(CP)*",,
Hersmunch,1098,6,6,64,Yes,,,,,,
Hersmunch,1175,6,6,63,,,,,,,
Hersmunch,1083,6,6,67,,,,,,,
Hersmunch,1087,6,6,65,Yes,,,,,,
Hersmunch,1087,6,6,66,,,,,,,
Hersmunch,1091,6,6,65,,,,,,,
Hersmunch,1215,6,6,62,Yes,,,,,,
Hersmunch,1219,6,6,62,,,,,,,
Hersmunch,775,7,7,76,Yes,,c(CN)*,,c(CP)*,,
Hersmunch,779,7,7,76,,,(CN)*,,(CP)*,,
Hersmunch,1077,6,6,71,Yes,,,,,,
Hersmunch,1079,6,6,67,Yes,,,,,,
Hersmunch,1081,6,6,71,,,,,,,
Hersmunch,1083,6,6,66,Yes,,,,,,
mr_puzzel,1531,8,7,82,,,,,,,
