Name,C,N,P,I,Cheated?,Records (N),Categories (N),Records (P),Categories (P),prodN,prodP
easone,1450,3,3,28,Yes,,cN(CI)*,,c(CIP)*,,
easone,1482,3,2,30,Yes,,cN,cPC,,,
easone,1482,3,2,31,,,N,PC,,,
easone,1483,3,2,29,Yes,,cN,cP,,,cPX
easone,1483,3,2,30,,,N,,P(CI)*,,PX
easone,1974,3,2,28,Yes,,cN,cP,,,
easone,1980,3,2,29,,,N(CI)*,,P(CI)*,,
easone,1134,3,3,35,,NC,,,"(CP),h(CIP)*",,
easone,1136,3,3,34,,,N(CI)*,,(CIP)*,,
easone,1138,3,3,32,,,N(CI)*,,(CIP)*,NX,
easone,1450,3,3,30,,,N(CI)*,,(CIP)*,,
eidyia,913,5,4,32,Yes,,,,c(CIP)*,,
eidyia,4214,6,6,30,,,,,,,
eidyia,86,7,5,43,Hard,hC,,hC,,,
Hersmunch,620,7,7,38,Yes,cC,,cC,,,
Hersmunch,653,7,7,37,Yes,,c(CI)*,,c(CI)*,,
Hersmunch,749,5,5,30,Yes,,"c(CI),c(CN)*",,c(CI)*,,
Hersmunch,750,5,5,29,Yes,,c(CI)*,,c(CI)*,,
Hersmunch,765,5,5,27,Yes,,c(CI)*,,c(CI)*,,
Hersmunch,753,5,5,28,Yes,,c(CI)*,,c(CI)*,,
Hersmunch,828,5,5,26,Yes,,c(CI)*,,c(CI)*,,
Hersmunch,654,7,7,40,,C,,C,,,
Hersmunch,1530,3,3,45,,,N,,,,
Hersmunch,1568,3,3,43,,,N,,,,
Hersmunch,1603,3,3,42,,,N,,,,
Hersmunch,1832,3,3,36,,,N,,,,
Hersmunch,989,5,5,27,,,(CI)*,,(CI)*,,
Hersmunch,824,5,5,29,,,"(CI),(CN)*",,(CI)*,,
Hersmunch,855,5,5,28,,,(CI)*,,(CI)*,,
LongingForRest,5379,3,2,30,,,N,,P,,
LongingForRest,10997,3,2,26,,NI,,PI,,,
LongingForRest,3745,4,4,24,,I,,I,,,
LongingForRest,7015,3,3,22,Yes,"cI,cNI",,cI,,,
mr_puzzel,124,3,3,44,Hard,hN,,,h(CP)*,hNX,
mr_puzzel,683,6,4,45,,,(CN)*,,(CP)*,,
Untellect,1468,3,3,39,Yes,,cN,,,,
