Name,C,N,P,I,Cheated?,Records (N),Categories (N),Records (P),Categories (P),prodN,prodP
easone,1115,10,10,80,,,,,,,
easone,2583,7,7,56,,,,,,,
easone,2713,5,5,55,,,,,,,
easone,2713,6,6,54,,,,,,,
easone,2765,5,5,53,,,,,,,
easone,2832,7,7,51,,,,,,,
easone,2843,5,5,52,,,,,,,
easone,2967,4,4,56,,,,,,,
easone,1115,11,11,79,,,,,,,
easone,3019,4,4,54,,,,,,,
easone,3097,4,4,53,,,,,,,
easone,1217,10,10,63,,,(CI)*,,(CI)*,,
easone,1243,9,9,50,,,(CIN)*,,(CIP)*,,
easone,1243,10,10,48,,,(CI)*,,(CI)*,,
easone,1862,8,8,59,,,(CIN)*,,(CIP)*,,
Hersmunch,1089,10,10,82,,C,,C,,,
Hersmunch,2550,3,3,41,,N,,P,,NX,PX
Hersmunch,1105,9,9,69,,,(CN)*,,(CP)*,,
Hersmunch,2551,4,4,38,,IN,,IP,,,
Hersmunch,2425,4,4,40,,,(CIN)*,,(CIP)*,,
Hersmunch,2422,4,4,43,,,(CN)*,,(CP)*,,
Hersmunch,2287,5,5,38,,IC,,IC,,,
Hersmunch,2074,5,5,43,,,"(CN),(CI)*",,"(CP),(CI)*",,
Hersmunch,1258,7,7,62,,,(CN)*,,(CP)*,,
Hersmunch,1317,6,6,68,,,(CN)*,,(CP)*,,
Hersmunch,1969,6,6,59,,,(CIN)*,,(CIP)*,,
Hersmunch,1105,10,10,67,,,(CI)*,,(CI)*,,
mr_puzzel,1741,9,9,98,,,,,,,
