Name,C,N,P,I,Cheated?,Records (N),Categories (N),Records (P),Categories (P),prodN,prodP
anningmay,9832,7,7,80,,,,,,,
david0so,604,7,5,70,,,,,,,
easone,18697,3,3,17,,,"I,NI",,"I,PI",,
easone,324,8,8,100,,C,,C,,,
easone,331,8,7,53,,,(CI)*,,"(CI),(CP)*",,
easone,406,7,7,53,,,(CN)*,,,,
easone,430,6,4,47,,,"(CI),(CN)*",,"(CI),(CP)*",,
easone,457,5,5,47,,,(CN)*,,,,
easone,602,4,4,47,,,(CN)*,,,,
easone,2766,3,3,40,,,"(CI),N(CI)*",,"(CI),P(CI)*",,
easone,3029,4,4,33,,,(CI)*,,(CI)*,,
easone,4267,3,3,31,,,"(CI),N(CI)*",,"(CI),P(CI)*",,
Hersmunch,7568,3,3,25,,,N,,P,,
Hersmunch,6737,3,3,34,Yes,,cN,,cP,,
Hersmunch,394,8,8,101,,,,,,,
Hersmunch,6964,3,3,33,,,N,,P,,
Hersmunch,432,8,7,74,,,,,,,
Hersmunch,18623,3,3,17,,,"I,NI",,"I,PI",,
Hersmunch,396,8,8,93,,,,,,,
Hersmunch,15154,3,3,24,,,N,,P,,
LongingForRest,3457,8,8,48,,,,,,,
LongingForRest,5566,3,3,24,,,"(CI),N(CI)*",,"(CI),P(CI)*",,
LongingForRest,5603,3,3,23,,,"(CI),N(CI)*",,"(CI),P(CI)*",,
LongingForRest,5445,3,3,25,,,"(CI),N(CI)*",,"(CI),P(CI)*",,
LongingForRest,3333,8,8,54,,,,,,,
LongingForRest,3203,8,8,62,Yes,,,,,,
LongingForRest,488,8,7,97,,,,,,,
LongingForRest,390,8,7,98,,,,,,,
LongingForRest,384,8,7,99,,,,,,,
LongingForRest,18620,3,3,17,,"IC,IN,NIC",,"IC,IP,PIC",,,
LongingForRest,366,8,7,96,Yes,,,,,,
LongingForRest,5390,3,3,28,,,"(CI),N(CI)*",,"(CI),P(CI)*",,
LongingForRest,5387,3,3,29,,,"(CI),N(CI)*",,"(CI),P(CI)*",,
LongingForRest,5386,3,3,30,,,"(CI),N(CI)*",,"(CI),P(CI)*",,
LongingForRest,5292,3,3,28,Yes,,"c(CI),cN(CI)*",,"c(CI),cP(CI)*",,
LongingForRest,5317,3,3,27,Yes,,"c(CI),cN(CI)*",,"c(CI),cP(CI)*",,
LongingForRest,5254,3,3,30,Yes,,"c(CI),cN(CI)*",,"c(CI),cP(CI)*",,
LongingForRest,361,8,7,97,Yes,,,,,,
LongingForRest,13757,3,3,19,,,"(CI),N(CI)*",,"(CI),P(CI)*",,
LongingForRest,13719,3,3,20,,,"(CI),N(CI)*",,"(CI),P(CI)*",,
LongingForRest,5717,3,3,22,,,"(CI),N(CI)*",,"(CI),P(CI)*",,
LongingForRest,10280,3,3,21,,,"(CI),N(CI)*",,"(CI),P(CI)*",,
mr_puzzel,13760,3,3,19,,,N,,P,,
mr_puzzel,399,8,7,92,,,,,,,
mr_puzzel,730,3,3,44,,NC,(CI)*,PC,(CI)*,NX,PX
